"res_1_min","res_2_min","res_3_min","res_4_min","res_5_min","res_6_min","res_7_min","res_8_min","res_9_min","res_10_min","upper_weber_stor_min","upper_ogden_stor_min","lower_stor_min","total_res_min","current_res_min","moderate_max","severe_max","extreme_max","SA1_max","SA2_max","SA3_max","SA4_max","SA5_max","SA6_max","SA7_max","SA8_max","SA9_max","SA10_max","SA11_max","SA12_max","SA13_max","SA14_max","SA15_max","SA16_max","SA17_max","SA18_max","SA19_max","SA20_max","upper_weber_short_max","upper_ogden_short_max","lower_short_max","system_max","k_2","k_3","k_4","k_5","k_6","k_7","k_8","k_9","k_10","k_11","k_12","k_13","k_14","k_15","k_16","k_17","k_18"
8350,61260,73940,22510,34498.78792,5987.093082,6730.30437,236371.3375,Inf,Inf,200558.78792,12717.397452,236371.3375,449647.522872,449647.522872,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,-Inf,0,0,-Inf,0,0,0,-Inf,0,0,-Inf,-Inf,0,0,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4530.198928,48236.83578,19242.04103,18765.21222,24847.31554,1000,9.999998897,183544.1477,Inf,Inf,116968.414479,1009.999998897,183544.1477,305684.03087505,305684.03087505,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,2714.677458,0,3191.367207,0,0,0,0,0,-Inf,0,5906.044665,0,5906.04466499999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8343.642223,61129.65524,73940,22236.85529,37730.04167,5916.396645,7420.0433,213052.568,Inf,Inf,203380.194423,13336.439945,213052.568,429769.202368,429769.202368,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,-Inf,0,0,-Inf,0,0,0,-Inf,0,0,-Inf,-Inf,0,0,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8350,56820.27003,55565.27549,20475.65063,36216.54348,3352.052995,5695.38581,200193.4228,Inf,Inf,177427.73963,9047.438805,200193.4228,386668.601235,386668.601235,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,-Inf,0,-Inf,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7917.544708,51326.9504,34970.33024,19409.59192,30484.08271,1000,9.999998897,198616.7531,Inf,Inf,144363.95086,1009.999998897,198616.7531,343990.703958897,343990.703958897,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,2552.800527,0,0,0,0,0,0,0,-Inf,0,2552.800527,0,2552.800527,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10
2297.267037,44817.03072,6912.37954,16599.34599,11696.87072,1000,9.999998897,115883.9758,Inf,Inf,93246.879433,1009.999998897,115883.9758,222548.35605805,222548.35605805,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,4485.591244,5396.5144837,4806,0,0,0,0,0,-Inf,0,13005.2381017,0,13005.2381017,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
747.3613109,12075.29941,9.999999926,5104.706598,4770.506868,1000,9.999998897,25029,Inf,Inf,23598.2733856,1009.999998897,25029,52014.19072263,52014.19072263,56081.578,61907.805,5693.054349006,-Inf,2198.63275,0,0,0,0,685.0894885,1806.2257873,0,0,0,5221.609186,5848,4806,0,0,0,1197,0,-Inf,2917.7627201,13776.692606,1197,15068.169346,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4946.528163,57962.59251,46466.25312,14344.25139,13807.7945,2634.492063,7185.687542,133997.5038,Inf,Inf,140733.875973,13117.250272,133997.5038,287848.630045,287848.630045,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-Inf,0,0,0,0,1,1,1,1,1,1,1,1,10,10,10,10,10,10,16,16,16
5026.705544,49081.00532,26292.94785,18555.60274,23770.1136,1000,11801.6871,191814.8007,Inf,Inf,122987.116511,12801.6871,191814.8007,327603.604311,327603.604311,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,4076.618563,0,0,0,0,0,0,0,-Inf,0,4076.618563,0,4076.618563,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
747.3613109,22524.73922,9.999999926,5649.819269,3090,1000,7.621144618,25029,Inf,Inf,32762.9264759,1007.621144618,25029,61238.77214488,61238.77214488,56081.578,57051.085164494,0,-Inf,5296.420433,0,0,0,0,1320,1899.9947075,0,0,0,5251.43879,5848,4806,0,0,0,1197,0,-Inf,6616.420433,13939.655704,1197,15431.823582,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5
