"","M_1","M_2","M_3","M_4","M_5","M_6","M_7","M_8","M_9","M_10","M_11","M_12"
"(Intercept)",0.0754335507958465,0.12393914069498,0.0635231455095577,0.010887383697009,0.00986124820569611,0.024963770794643,-0.00924072511019235,-0.0743000492638211,0.0076917239787509,0.14269760817489,0.1510947968007,0.128364184311169
"ENSO",0,0.0506350726306644,-0.0867498209571726,-0.0855319478448684,0,0.135663218855544,0.122819785707191,0.115126169789199,0,0,0,0
"ENSO_short",0,-0.100448624015198,-0.0683300554171805,-0.0323538757035561,0,-0.224343071124226,-0.184471635888927,-0.141282289739014,0,0,0,-0.0519029669228286
"annual_norm.-1",0.585012345121545,0.457994810528306,0.206171854441025,0.0577728916462621,0,0,0,0.0559626115054844,0,0.393033918536068,0.453438601578564,0.444089646285131
"annual_norm.0",0.120092234803472,0.280693019566412,0.226882726238048,0.0806803729810481,0.372203498603467,0.569188170103114,0.657261328912263,0.57556662462115,0.446460050476168,0,0,0
"annual_norm.1",0,-0.0850742604504528,0.00316001096733364,0.0651653888922456,0.00103886682244692,0,0,0,0,0,0,0
