"","M_1","M_2","M_3","M_4","M_5","M_6","M_7","M_8","M_9","M_10","M_11","M_12"
"(Intercept)",0.0929704162581421,0.15163124962951,0.0806099006283862,0.0222094489234772,0.007183318269896,0.0777519038035758,0.0362112633121291,-0.034465073373561,-0.0287890303245468,0.137307772850917,0.148149881716383,0.142740891814799
"annual_norm.-1",0.547877957426308,0.480604588164595,0.229361472085715,0.0539515086330331,0,0,0,0,0.0833554316157921,0.424194625844435,0.470464286311867,0.439961472828703
"annual_norm.0",0.23125355435631,0.332462218983895,0.217528412179018,0.0569029263499835,0.381690923782338,0.584527259064987,0.675529976747204,0.627933249700472,0.459504109855085,0,0,0
"annual_norm.1",-0.0844470282019273,-0.137729719232979,0,0.0658514893055631,0.00876692176067813,0,0,0,0.0737938205025797,0,0,0
