"","site","method","data","predictors","site_name","model_name","reg_eq","postproc","month","ME","MAE","RMSE","NSE","R","R.spear"
"51.9",10128500,"apr","rec","clim_pca_impute","weber","10128500_apr_rec_clim_pca_impute","l(flow, seq(-1,1)) + ENSO + ENSO_short + PC1 + PC2 + PC3 + PC4 + PC5 + PC6 + PC7 + PC8 + PC9","postproc",10,0.0422793107701337,0.507075647288234,0.639346324083398,0.3290777069581,0.681738939581802,0.592164992996944
"51.10",10128500,"apr","rec","clim_pca_impute","weber","10128500_apr_rec_clim_pca_impute","l(flow, seq(-1,1)) + ENSO + ENSO_short + PC1 + PC2 + PC3 + PC4 + PC5 + PC6 + PC7 + PC8 + PC9","postproc",11,0.00502583815175297,0.297536027722609,0.385226732077264,0.440506554721681,0.738512739995331,0.697564847611268
"51.11",10128500,"apr","rec","clim_pca_impute","weber","10128500_apr_rec_clim_pca_impute","l(flow, seq(-1,1)) + ENSO + ENSO_short + PC1 + PC2 + PC3 + PC4 + PC5 + PC6 + PC7 + PC8 + PC9","postproc",12,0.026370126708388,0.264863573339141,0.348925593633218,0.293173450472893,0.702179473213232,0.713839356874139
"61",10128500,"apr","rec","clim_pca_impute_lag","weber","10128500_apr_rec_clim_pca_impute_lag","l(flow, seq(-1,1)) + l(ENSO,seq(-1,1)) + l(ENSO_short,seq(-1,1)) + l(PC1,seq(-1,1)) + l(PC2,seq(-1,1)) + l(PC3,seq(-1,1)) + l(PC4,seq(-1,1)) + l(PC5,seq(-1,1)) + l(PC6,seq(-1,1)) + l(PC7,seq(-1,1)) + l(PC8,seq(-1,1)) + l(PC9,seq(-1,1))","postproc",1,0.0270128241483317,0.152261279821608,0.20172423079231,0.635064744967697,0.828715125616648,0.800444301672791
"61.1",10128500,"apr","rec","clim_pca_impute_lag","weber","10128500_apr_rec_clim_pca_impute_lag","l(flow, seq(-1,1)) + l(ENSO,seq(-1,1)) + l(ENSO_short,seq(-1,1)) + l(PC1,seq(-1,1)) + l(PC2,seq(-1,1)) + l(PC3,seq(-1,1)) + l(PC4,seq(-1,1)) + l(PC5,seq(-1,1)) + l(PC6,seq(-1,1)) + l(PC7,seq(-1,1)) + l(PC8,seq(-1,1)) + l(PC9,seq(-1,1))","postproc",2,0.0102431620657827,0.147370199911021,0.187031876301075,0.650611024216909,0.83494694916133,0.804099314625934
"61.2",10128500,"apr","rec","clim_pca_impute_lag","weber","10128500_apr_rec_clim_pca_impute_lag","l(flow, seq(-1,1)) + l(ENSO,seq(-1,1)) + l(ENSO_short,seq(-1,1)) + l(PC1,seq(-1,1)) + l(PC2,seq(-1,1)) + l(PC3,seq(-1,1)) + l(PC4,seq(-1,1)) + l(PC5,seq(-1,1)) + l(PC6,seq(-1,1)) + l(PC7,seq(-1,1)) + l(PC8,seq(-1,1)) + l(PC9,seq(-1,1))","postproc",3,0.0562075756594959,0.388671055723722,0.514766425243205,0.351083461769349,0.652288076027786,0.645592049711037
"61.3",10128500,"apr","rec","clim_pca_impute_lag","weber","10128500_apr_rec_clim_pca_impute_lag","l(flow, seq(-1,1)) + l(ENSO,seq(-1,1)) + l(ENSO_short,seq(-1,1)) + l(PC1,seq(-1,1)) + l(PC2,seq(-1,1)) + l(PC3,seq(-1,1)) + l(PC4,seq(-1,1)) + l(PC5,seq(-1,1)) + l(PC6,seq(-1,1)) + l(PC7,seq(-1,1)) + l(PC8,seq(-1,1)) + l(PC9,seq(-1,1))","postproc",4,0.407677530054378,1.79640444029755,2.26940872716243,0.0360799778603964,0.589029031688473,0.521183989059541
"61.4",10128500,"apr","rec","clim_pca_impute_lag","weber","10128500_apr_rec_clim_pca_impute_lag","l(flow, seq(-1,1)) + l(ENSO,seq(-1,1)) + l(ENSO_short,seq(-1,1)) + l(PC1,seq(-1,1)) + l(PC2,seq(-1,1)) + l(PC3,seq(-1,1)) + l(PC4,seq(-1,1)) + l(PC5,seq(-1,1)) + l(PC6,seq(-1,1)) + l(PC7,seq(-1,1)) + l(PC8,seq(-1,1)) + l(PC9,seq(-1,1))","postproc",5,0.382515792931219,3.90961705282341,4.98194783568522,0.36207569120391,0.681885579274722,0.619030086261309
"61.5",10128500,"apr","rec","clim_pca_impute_lag","weber","10128500_apr_rec_clim_pca_impute_lag","l(flow, seq(-1,1)) + l(ENSO,seq(-1,1)) + l(ENSO_short,seq(-1,1)) + l(PC1,seq(-1,1)) + l(PC2,seq(-1,1)) + l(PC3,seq(-1,1)) + l(PC4,seq(-1,1)) + l(PC5,seq(-1,1)) + l(PC6,seq(-1,1)) + l(PC7,seq(-1,1)) + l(PC8,seq(-1,1)) + l(PC9,seq(-1,1))","postproc",6,0.924541021540783,6.7776999705784,8.7133498767735,0.519048414952606,0.775207375464244,0.765460546054605
"61.6",10128500,"apr","rec","clim_pca_impute_lag","weber","10128500_apr_rec_clim_pca_impute_lag","l(flow, seq(-1,1)) + l(ENSO,seq(-1,1)) + l(ENSO_short,seq(-1,1)) + l(PC1,seq(-1,1)) + l(PC2,seq(-1,1)) + l(PC3,seq(-1,1)) + l(PC4,seq(-1,1)) + l(PC5,seq(-1,1)) + l(PC6,seq(-1,1)) + l(PC7,seq(-1,1)) + l(PC8,seq(-1,1)) + l(PC9,seq(-1,1))","postproc",7,-0.107895779225191,2.07478413940666,3.60686984410326,0.606481978927696,0.785953737019415,0.845700570057006
"61.7",10128500,"apr","rec","clim_pca_impute_lag","weber","10128500_apr_rec_clim_pca_impute_lag","l(flow, seq(-1,1)) + l(ENSO,seq(-1,1)) + l(ENSO_short,seq(-1,1)) + l(PC1,seq(-1,1)) + l(PC2,seq(-1,1)) + l(PC3,seq(-1,1)) + l(PC4,seq(-1,1)) + l(PC5,seq(-1,1)) + l(PC6,seq(-1,1)) + l(PC7,seq(-1,1)) + l(PC8,seq(-1,1)) + l(PC9,seq(-1,1))","postproc",8,0.0422944035052259,0.503194541461743,0.631126479864956,0.713445240801845,0.849107552198024,0.806096609660966
"61.8",10128500,"apr","rec","clim_pca_impute_lag","weber","10128500_apr_rec_clim_pca_impute_lag","l(flow, seq(-1,1)) + l(ENSO,seq(-1,1)) + l(ENSO_short,seq(-1,1)) + l(PC1,seq(-1,1)) + l(PC2,seq(-1,1)) + l(PC3,seq(-1,1)) + l(PC4,seq(-1,1)) + l(PC5,seq(-1,1)) + l(PC6,seq(-1,1)) + l(PC7,seq(-1,1)) + l(PC8,seq(-1,1)) + l(PC9,seq(-1,1))","postproc",9,0.0256798799779181,0.438458027781981,0.547177437998523,0.609928178531537,0.797867762316011,0.76478265300833
"61.9",10128500,"apr","rec","clim_pca_impute_lag","weber","10128500_apr_rec_clim_pca_impute_lag","l(flow, seq(-1,1)) + l(ENSO,seq(-1,1)) + l(ENSO_short,seq(-1,1)) + l(PC1,seq(-1,1)) + l(PC2,seq(-1,1)) + l(PC3,seq(-1,1)) + l(PC4,seq(-1,1)) + l(PC5,seq(-1,1)) + l(PC6,seq(-1,1)) + l(PC7,seq(-1,1)) + l(PC8,seq(-1,1)) + l(PC9,seq(-1,1))","postproc",10,0.0534320324659822,0.427348381054218,0.575683765217955,0.456038901908807,0.760106080621495,0.709957125587131
"61.10",10128500,"apr","rec","clim_pca_impute_lag","weber","10128500_apr_rec_clim_pca_impute_lag","l(flow, seq(-1,1)) + l(ENSO,seq(-1,1)) + l(ENSO_short,seq(-1,1)) + l(PC1,seq(-1,1)) + l(PC2,seq(-1,1)) + l(PC3,seq(-1,1)) + l(PC4,seq(-1,1)) + l(PC5,seq(-1,1)) + l(PC6,seq(-1,1)) + l(PC7,seq(-1,1)) + l(PC8,seq(-1,1)) + l(PC9,seq(-1,1))","postproc",11,0.0336264530408659,0.257052317437235,0.34063613587505,0.560164407414024,0.803877838571867,0.787989162887324
"61.11",10128500,"apr","rec","clim_pca_impute_lag","weber","10128500_apr_rec_clim_pca_impute_lag","l(flow, seq(-1,1)) + l(ENSO,seq(-1,1)) + l(ENSO_short,seq(-1,1)) + l(PC1,seq(-1,1)) + l(PC2,seq(-1,1)) + l(PC3,seq(-1,1)) + l(PC4,seq(-1,1)) + l(PC5,seq(-1,1)) + l(PC6,seq(-1,1)) + l(PC7,seq(-1,1)) + l(PC8,seq(-1,1)) + l(PC9,seq(-1,1))","postproc",12,0.0182340216426613,0.185968656532875,0.242444710360922,0.649220874643226,0.859728288618559,0.869084897810992
