"","1","2","3","4","5","6","7","8","9","10","11","12"
"ME",-0.0159029497255604,-0.013887975471086,-0.0476448151881627,-0.303905049651295,-0.588443411108385,-1.42837124945407,-0.600206333969921,-0.0849299763366113,-0.0654515065061797,-0.0611047736327304,-0.0302705734726512,-0.0256932624486302
"MAE",0.199767256662763,0.199307431807893,0.362545316917297,1.66764639579756,4.34909110259943,7.37543019982513,2.67143678528109,0.682777375293906,0.552509032006844,0.520437433331488,0.346190569779288,0.277438886138929
"RMSE",0.254036513362795,0.250475610554389,0.58150775198354,2.23078857382747,5.6780766840534,9.5643550346786,4.52495362149581,0.87363608402204,0.730198366576702,0.695172268685818,0.444273618335213,0.35856415973196
"NSE",0.421248710550663,0.377078468469945,0.170813431523382,0.0596243436445798,0.160911690057721,0.417209594559037,0.388747546028733,0.459561921358958,0.300453864010963,0.20679625505952,0.25181329725982,0.248436841693883
"R",0.653590643808336,0.620030002143748,0.449056397373032,0.319279623407384,0.413896771697726,0.656412367191264,0.667543803267505,0.687538168359711,0.571194277231177,0.476607849232265,0.51581659503771,0.511475686390291
"R.spear",0.682705066880695,0.63282269329438,0.487243979046493,0.288066866859209,0.404378478664193,0.635330795860987,0.698219306466729,0.638429317368934,0.571222835954674,0.494354918558836,0.518729429133535,0.525518846468964
