"site_id","site_name","water_year","year","month","date","monthly_sum","monthly_mean","annual_sum","annual_mean"
"10128500","Weber River",1917,1917,1,1917-01-16,43.04160681984,1.38843892967226,3363.81484035686,9.21593106947086
"10128500","Weber River",1917,1917,2,1917-02-14,47.57230227456,1.69901079552,3363.81484035686,9.21593106947086
"10128500","Weber River",1917,1917,3,1917-03-16,62.212111962624,2.00684232137497,3363.81484035686,9.21593106947086
"10128500","Weber River",1917,1917,4,1917-04-15,119.468775771648,3.9822925257216,3363.81484035686,9.21593106947086
"10128500","Weber River",1917,1917,5,1917-05-16,475.100052120576,15.3258081329218,3363.81484035686,9.21593106947086
"10128500","Weber River",1917,1917,6,1917-06-15,1469.78592235776,48.992864078592,3363.81484035686,9.21593106947086
"10128500","Weber River",1917,1917,7,1917-07-16,672.723324486144,21.7007524027788,3363.81484035686,9.21593106947086
"10128500","Weber River",1917,1917,8,1917-08-16,119.553726311424,3.85657181649755,3363.81484035686,9.21593106947086
"10128500","Weber River",1917,1917,9,1917-09-15,78.465981906432,2.6155327302144,3363.81484035686,9.21593106947086
"10128500","Weber River",1918,1917,10,1917-10-16,68.045382360576,2.19501233421213,2139.56429479834,5.86181998574887
"10128500","Weber River",1918,1917,11,1917-11-15,63.656271138816,2.1218757046272,2139.56429479834,5.86181998574887
"10128500","Weber River",1918,1917,12,1917-12-16,57.936268127232,1.868911875072,2139.56429479834,5.86181998574887
"10128500","Weber River",1918,1918,1,1918-01-16,57.936268127232,1.868911875072,2139.56429479834,5.86181998574887
"10128500","Weber River",1918,1918,2,1918-02-14,49.158045683712,1.755644488704,2139.56429479834,5.86181998574887
"10128500","Weber River",1918,1918,3,1918-03-16,69.149739377664,2.23063675411819,2139.56429479834,5.86181998574887
"10128500","Weber River",1918,1918,4,1918-04-15,114.060258072576,3.8020086024192,2139.56429479834,5.86181998574887
"10128500","Weber River",1918,1918,5,1918-05-16,461.253114137088,14.8791327140996,2139.56429479834,5.86181998574887
"10128500","Weber River",1918,1918,6,1918-06-15,950.511589553664,31.6837196517888,2139.56429479834,5.86181998574887
"10128500","Weber River",1918,1918,7,1918-07-16,128.8416519936,4.15618232237419,2139.56429479834,5.86181998574887
"10128500","Weber River",1918,1918,8,1918-08-16,65.8366683264,2.1237634944,2139.56429479834,5.86181998574887
"10128500","Weber River",1918,1918,9,1918-09-15,53.179037899776,1.7726345966592,2139.56429479834,5.86181998574887
