"k","sil_width"
2,0.279719620955462
3,0.286578890343143
4,0.282443167076332
5,0.232925727757969
6,0.175501772963363
7,0.181234814637859
8,0.183267493430264
9,0.19436346177765
10,0.200137712502886
11,0.207345224744068
12,0.205919814464863
13,0.204699365954237
14,0.201726351887183
15,0.201768729945779
16,0.203998118986204
17,0.205251441430062
18,0.176654477458443
