"","SFC","BFD","BFL","CCU","CLD","CMP","CMU","EUR","HCD","JTD","JTL","JTR","JHD","LFU","LFR","LDS","MAP","MCD","MCL","NAD","PPD","RRS","RSM","RCD","RCP","RCC","RWD","RFD","RFR","RRU","SCD","SCR","SPD","TRC","WBD","WFR","WRD","WRL","HAR","SBD","SBL","DJM","RHL","WEL","PHB","WSK","FMT","BLE","ARE","LLR"
"1508",0.873600907,0.941037284341388,0.925339538,0.957888099747836,1.11476884963168,0.170140807,0.897914012,1.102578324708,1.00453468111717,0.998535668695315,0.995721291618956,0.713840573,0.991611653,0.896050921900655,0.934196885149168,1.01237115410305,0.889389487,1.14213346901196,1.07008644411082,0.864669516,0.977668288186961,1.13193473629777,0.988602350839582,0.944639154,0.662208709,0.892091534,1.01829471955439,1.04078551429468,0.927226062,0.308239851,1.12558155587763,1.05640942531079,1.05092775646937,1.292784754,1.12796359223981,1.390132506,0.991673763,1.274397363,0.971618972,1.63270838642202,1.65869462182756,0.919064367,0.936574307,0.973864726,1.258979843,2.347011183,1.16203444963963,1.20289430414779,1.429415554,0.981711603
"1509",1.459204348,1.15701269963904,1.168944967,1.07921627718916,1.17142536129916,1.270071949,1.13046343,1.14407514594129,1.1042208908907,1.11725508832501,1.08872700730809,0.943394732,1.184861852,1.08228379453784,1.1301441100546,1.08230808134175,0.999559328,1.16706030270862,1.12170715330733,1.086875378,1.13636347061037,1.18601052202013,1.13696050055474,1.039001605,0.860048585,1.223953626,1.12599984505852,1.14216803362487,1.117945252,0.712304922,1.12789174917245,1.0622192161617,1.14924018975021,1.550448744,1.16353024760391,1.196316946,1.237851551,1.240546785,1.20494016,0.975080931278979,1.00086446003099,1.189883148,1.07150423,1.108575071,0.972392514,1.082193488,1.0997043101443,1.19056044666188,1.125131703,0.928149869
"1510",1.293108089,1.18258324508206,1.085863024,1.06129482210793,1.27928890537087,1.781563655,1.483837157,0.925191803428465,1.19173554562754,1.25492019946482,1.11294139889364,1.010001983,0.821108155,0.998628375852838,1.08733458679886,1.08158965387312,1.018608169,1.34111917217841,1.28082894401946,1.509965396,1.28420564792673,0.831349211411239,0.871687832691905,0.468397074,0.53746702,0.463447494,1.29433370627683,1.33384130725764,1.120698902,0.320915376,1.17708001006506,1.43311184560405,1.24002530692925,0.989731573,1.3835741547107,1.209710297,1.479366352,1.575813412,0.478701283,0.714279739391775,0.822104647561092,0.914511035,0.860995568,0.642373614,0.004163107,0.717904891,1.0008921417682,1.10351067685124,0.956756407,1.194839503
"1511",0.865265023,1.18526120874553,1.144967744,0.951503215851871,1.07919838038686,1.792966047,1.525969591,0.986601011863103,1.09225207004211,1.16892179736272,1.09655376214224,0.900932327,0.988297429,0.927300012931456,0.983155926497191,1.01481342631867,1.031975688,1.22378313713289,1.16234362433187,1.218952593,1.22973317445937,0.85874295603181,0.928308419151436,1.067232916,0.879703508,0.855612885,1.19058434300213,1.20392350492745,1.059697891,0.465229938,1.02563936266804,1.36885707992748,1.1121676914102,1.045032329,1.19149854901498,0.860802219,1.488638278,1.445404243,0.978577012,0.53712565340568,0.569850867302574,1.191960866,0.617769742,1.034114386,0.989688144,0.667111506,0.807722599819824,0.915758564964472,0.770283481,1.068418075
"1512",1.098392857,1.14725268722653,0.968321802,1.09207806099347,1.10189637533717,0.966744832,0.727270302,1.03882020763041,1.1201298346723,1.18640228690097,1.15333291666125,1.095722215,0.853612399,1.00804158648699,1.09389853275941,1.10368325604697,0.934668099,1.19537189086309,1.16675296315294,1.244363635,1.1229438534682,1.00417119057365,1.02620270269041,1.062909523,1.039317417,1.02912411,1.16204593603667,1.1890827600199,1.218784286,0.652493972,1.08151428960109,0.993617843637149,1.12059555161156,1.21756192,1.19283276297884,0.93289236,1.439317926,1.058565428,1.151247049,0.522760626048681,0.512285351152667,0.849973903,0.771471066,1.145473085,0.68840116,0.440563666,0.94674995421422,0.980266790698144,0.916091672,0.688089984
"1513",0.606960623,1.00576950638025,0.852792917,0.726317565,0.961247520027368,1.016911281,0.844210193,0.962723406064585,1.00055751748753,1.03756840100516,1.00816195071214,0.963920517,0.647987425,0.874991065897762,0.906963802513106,1.00723988749995,0.891515685,1.05957463760661,1.0344584620293,1.165482769,0.990558412946708,0.926563030843755,0.918832585242743,0.990698465,1.077947264,1.02465087,1.03695494173203,1.04176420580088,0.960764049,0.958503402,0.990715244625131,1.04639629381239,0.9915303563393,1.14578854,1.05491514807836,0.909230777,1.124270725,1.002133465,0.900315115,0.632540920896526,0.616334392755148,0.668120329,0.53072466,0.878851113,0.673434446,0.684063367,0.852181621405135,0.841569877546915,0.771130433,0.759459453
"1514",1.082186257,1.15555710114114,0.961588353,1.047869755,1.16679129658077,1.1373344,1.313355223,1.22716118807098,1.09850770903287,1.18430128534385,1.13931644929605,0.936667819,1.152682623,1.01853428065604,1.0912987461212,1.10169283506118,0.886129697,1.2650840091213,1.14732221802903,1.021688232,1.04457785350182,1.24558714240502,1.16382209815169,1.597114917,1.315040229,1.318362035,1.17728569492248,1.21877590817625,1.002583268,0.92215088,1.18990104896629,1.15229638638989,1.16735856879273,1.265531563,1.20894765146343,1.184059562,1.278655956,1.226515007,1.788401386,1.02473574401209,0.996118447940092,1.534469105,0.959282103,1.481685484,1.357945777,1.143054992,1.10805137451998,1.23995153265309,1.163784951,0.935392628
"1515",0.36178401,0.980957548906582,0.945236467,0.796452245,1.01599949762271,0.944252742,0.783381412,0.975632525124786,0.985339897565071,0.967518724070591,0.936124894007589,0.752717891,0.907709646,0.858184854880377,0.859362282283041,0.967378802633863,0.980116602,1.07020570714604,1.02688522764478,0.999453171,1.07547514258078,0.950385685061415,0.890845207331784,0.736833944,1.008445198,0.890950441,1.00847446074462,1.00407276241974,0.855954273,0.994300938,0.995014021983352,1.20367794488686,0.994419742499693,0.886992026,1.07252133478641,0.839972591,1.299409418,1.197695736,0.596715389,1.05514873082458,1.09758333615245,0.867426338,0.98922776,0.669194454,0.762727564,0.833378243,0.899693848231857,0.924546771842188,1.112821763,1.189469052
"1516",0.817767046,1.07800173337342,1.081202101,0.89420109,1.17588751248224,1.387822057,1.932760566,1.02192369907671,1.09359065477193,1.12158065003898,1.06840589908135,1.016770814,0.858935528,0.973657454776414,1.01446442125345,1.01285518636829,1.072660666,1.18475352595936,1.12049075962059,1.055135088,1.11363493707262,1.00738546170588,0.940855474492526,0.766604653,0.909819403,1.071285186,1.14687164969842,1.15307696291363,0.937482506,1.071865404,1.15346816110529,1.24182471614921,1.14197058955667,1.178076477,1.17275101928281,1.258700666,1.129883493,1.124623718,1.105411189,1.30531886031659,1.36955978228231,0.772491849,0.737620612,1.254871495,0.983758396,1.738110261,1.12017773774166,1.21261474388201,1.484360024,1.521696395
"1517",0.961427451,1.02523200758275,0.944986035,1.012468103,0.979728043553618,0.891926361,0.526881258,1.06030776905355,0.970156001694711,1.02435788977036,1.04084363567441,0.896533083,1.003780807,0.924174659345974,0.97564848339275,0.973173918591985,1.035359056,1.06874031933607,1.05251708186928,0.861895937,0.971054059388417,0.993622286494506,1.02738232770482,1.305639273,1.106252849,1.26623829,1.02004653132116,1.03595679548548,1.072965915,0.640102823,0.99722086515227,1.01540790134479,1.00891978662293,1.011815517,1.01760822452999,1.207092384,0.962530238,1.119465779,1.452619639,1.07378208385511,1.05360479592875,1.09989601,1.042185089,1.305541642,1.085853684,0.587773171,0.974504125578848,1.03018497824026,1.063170706,1.30255278
