"Component","Standard.deviation","Proportion.of.Variance","Cumulative.Proportion","EigenVal"
1,3.4924484636132,0.33881,0.33881,12.1971962709942
2,1.72669610918617,0.08282,0.42163,2.98147945347865
3,1.58333897949522,0.06964,0.49127,2.50696232398895
4,1.30402544421004,0.04724,0.5385,1.70048235914719
5,1.24937667812179,0.04336,0.58186,1.56094208383464
6,1.13115149025617,0.03554,0.6174,1.27950369390875
7,1.10001040739029,0.03361,0.65102,1.21002289636695
8,1.08483766817225,0.03269,0.68371,1.1768727662854
9,1.02110761673484,0.02896,0.71267,1.04266076495391
10,0.939772499656349,0.02453,0.7372,0.883172351110342
11,0.906028467682488,0.0228,0.76001,0.820887584251076
12,0.900490869162748,0.02252,0.78253,0.810883805445481
13,0.865233850003599,0.0208,0.80332,0.74862961519205
14,0.81909537694643,0.01864,0.82196,0.670917236535015
15,0.790083742299389,0.01734,0.8393,0.624232319845807
16,0.719046275327836,0.01436,0.85366,0.517027546062834
17,0.687702479792911,0.01314,0.8668,0.472934700713319
18,0.668866498703272,0.01243,0.87923,0.447382393087574
19,0.637493388536651,0.01129,0.89052,0.406397820427942
20,0.632455571866925,0.01111,0.90163,0.400000050385519
