"","water_year","month","year","annual_recon","annual_norm","norm_est","flow_est"
"1",1428,1,1428,NA,NA,NA,NA
"2",1428,2,1428,NA,NA,NA,NA
"3",1428,3,1428,NA,NA,NA,NA
"4",1428,4,1428,NA,NA,NA,NA
"5",1428,5,1428,NA,NA,NA,NA
"6",1428,6,1428,NA,NA,NA,NA
"7",1428,7,1428,NA,NA,NA,NA
"8",1428,8,1428,NA,NA,NA,NA
"9",1428,9,1428,NA,NA,NA,NA
"10",1429,10,1428,6.132556056,0.147615472990303,0.147615472990303,2.13700100960994
"11",1429,11,1428,6.132556056,0.147615472990303,0.147615472990303,1.89299674596565
"12",1429,12,1428,6.132556056,0.147615472990303,0.147615472990303,1.65386625458725
"13",1429,1,1429,6.132556056,0.147615472990303,0.147615472990303,1.550223886941
"14",1429,2,1429,6.132556056,0.147615472990303,0.147615472990303,1.54569649472676
"15",1429,3,1429,6.132556056,0.147615472990303,0.147615472990303,1.84708602097779
"16",1429,4,1429,6.132556056,0.147615472990303,0.147615472990303,4.91578926787912
"17",1429,5,1429,6.132556056,0.147615472990303,0.147615472990303,19.1377986159294
"18",1429,6,1429,6.132556056,0.147615472990303,0.147615472990303,22.8078640034425
"19",1429,7,1429,6.132556056,0.147615472990303,0.147615472990303,6.50440352760958
"20",1429,8,1429,6.132556056,0.147615472990303,0.147615472990303,3.17196289741614
"21",1429,9,1429,6.132556056,0.147615472990303,0.147615472990303,2.37461847853439
"22",1430,10,1429,6.413857134,0.375359735252348,0.375359735252348,2.30067566220412
"23",1430,11,1429,6.413857134,0.375359735252348,0.375359735252348,1.9998009848459
"24",1430,12,1429,6.413857134,0.375359735252348,0.375359735252348,1.74232199695345
"25",1430,1,1430,6.413857134,0.375359735252348,0.375359735252348,1.6193999113801
"26",1430,2,1430,6.413857134,0.375359735252348,0.375359735252348,1.60783123931879
"27",1430,3,1430,6.413857134,0.375359735252348,0.375359735252348,1.95918651794373
"28",1430,4,1430,6.413857134,0.375359735252348,0.375359735252348,5.40226240714464
"29",1430,5,1430,6.413857134,0.375359735252348,0.375359735252348,20.6229322963246
"30",1430,6,1430,6.413857134,0.375359735252348,0.375359735252348,25.7340031930088
"31",1430,7,1430,6.413857134,0.375359735252348,0.375359735252348,7.39146725465714
"32",1430,8,1430,6.413857134,0.375359735252348,0.375359735252348,3.43242754113504
