"","data","response","year","deliv_annual","demand_annual","request_annual","shortage_demand","shortage_request"
"65","paleo","Base",1493,617959.7397929,690783.8,622083.8,72824.0602071,4124.0602071
"66","paleo","Base",1494,619444.7565344,690783.8,622083.8,71339.0434656,2639.04346559999
"67","paleo","Base",1495,606579.754583,690783.8,622083.8,84204.045417,15504.045417
"68","paleo","Base",1496,605624.7640238,690783.8,622083.8,85159.0359762,16459.0359762
"69","paleo","Base",1497,613218.90268206,690783.8,622083.8,77564.89731794,8864.89731793999
"70","paleo","Base",1498,617250.9181635,690783.8,622083.8,73532.8818365,4832.8818365
"71","paleo","Base",1499,594921.3358655,690783.8,622083.8,95862.4641345,27162.4641345
"72","paleo","Base",1500,588450.3454983,690783.8,622083.8,102333.4545017,33633.4545017
"73","paleo","Base",1501,615416.86506658,690783.8,622083.8,75366.93493342,6666.93493341999
"74","paleo","Base",1502,617363.587596,690783.8,622083.8,73420.212404,4720.21240399999
"75","paleo","Base",1503,615451.121939,690783.8,622083.8,75332.678061,6632.678061
"76","paleo","Base",1504,616108.779179,690783.8,622083.8,74675.020821,5975.020821
"77","paleo","Base",1505,587167.4336505,690783.8,622083.8,103616.3663495,34916.3663495
"78","paleo","Base",1506,590416.2109593,690783.8,622083.8,100367.5890407,31667.5890407
"79","paleo","Base",1507,617753.2320062,690783.8,622083.8,73030.5679938,4330.56799380001
"80","paleo","Base",1508,619305.244295,690783.8,622083.8,71478.555705,2778.55570500001
"81","paleo","Base",1509,620566.539248,690783.8,622083.8,70217.260752,1517.260752
"82","paleo","Base",1510,602069.0949602,690783.8,622083.8,88714.7050398,20014.7050398
"83","paleo","Base",1511,608990.325161,690783.8,622083.8,81793.474839,13093.474839
"84","paleo","Base",1512,616535.741215,690783.8,622083.8,74248.058785,5548.058785
"85","paleo","Base",1513,617980.255971,690783.8,622083.8,72803.544029,4103.544029
"86","paleo","Base",1514,619772.699858,690783.8,622083.8,71011.100142,2311.100142
"87","paleo","Base",1515,612722.34575824,690783.8,622083.8,78061.45424176,9361.45424175999
"88","paleo","Base",1516,619964.423504,690783.8,622083.8,70819.376496,2119.376496
"89","paleo","Base",1517,617205.1732253,690783.8,622083.8,73578.6267747,4878.6267747
"90","paleo","Base",1518,602469.565856,690783.8,622083.8,88314.234144,19614.234144
