"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"mean",0.0797895389849494,0.147691286909577,0.0999450501022088,0.0296303416251955,0.00894059826459746,0.0775927152640455,0.0242836479296017,-0.0295454401510841,-0.0140420313532267,0.144133196180167,0.17033675364588,0.165792499517892
"sd",0.63250689968751,0.556515325699619,0.341827269040778,0.160974576583157,0.402127215353178,0.662295529793727,0.738349261016733,0.661396331280937,0.491425365708471,0.366363120933678,0.400915660988315,0.483803769571465
