"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"mean",0.0582542320223709,0.151236496631913,0.0822960620427862,0.0200934780022097,0.00397613947814167,0.0806587890162637,0.0341909268871796,-0.0418829458343552,-0.00229000693434525,0.133910352046682,0.140957042926102,0.131323605185576
"sd",0.653857071953542,0.633697471957122,0.375590549704479,0.18535008859315,0.375060990221521,0.664268092198785,0.735656962278866,0.672026384298897,0.447202696841107,0.393687695308676,0.454192856139138,0.447219278381233
