"","None","Extreme","Severe","Moderate"
"Paleo",0.97539975399754,0.00351432085749429,0.00825865401511158,0.0128272711298542
"Observed",0.972995780590717,0.00506329113924051,0.010126582278481,0.0118143459915612
"Base",0.863888888888889,0.0138888888888889,0.0388888888888889,0.0833333333333333
"Warm-Wet",1,0,0,0
"Hot-Wet",1,0,0,0
"Warm-Dry",0.733333333333333,0.0888888888888889,0.108333333333333,0.0694444444444444
"Hot-Dry",0.638888888888889,0.133333333333333,0.136111111111111,0.0916666666666667
