"","Paleo","Observed","Base","Warm-Wet","Hot-Wet","Warm-Dry","Hot-Dry"
"Paleo",NA,NA,NA,NA,NA,NA,NA
"Observed",0.763618190904548,NA,NA,NA,NA,NA,NA
"Base",0.000499750124937531,0.000499750124937531,NA,NA,NA,NA,NA
"Warm-Wet",0.0329835082458771,0.0204897551224388,0.000499750124937531,NA,NA,NA,NA
"Hot-Wet",0.0259870064967516,0.0169915042478761,0.000499750124937531,NA,NA,NA,NA
"Warm-Dry",0.000499750124937531,0.000499750124937531,0.000499750124937531,0.000499750124937531,0.000499750124937531,NA,NA
"Hot-Dry",0.000499750124937531,0.000499750124937531,0.000499750124937531,0.000499750124937531,0.000499750124937531,0.0444777611194403,NA
