"site_id","site_name","data","year","month","date","flow_m3s","thresh_m3s","norm","cum_loss"
10128500,"Weber River","observed",1975,9,1975-09-15,2.8382919234048,2.25047291486478,0.657521393451672,NA
10128500,"Weber River","observed",1975,10,1975-10-16,2.58048682652903,2.03516729135528,0.741064861666114,NA
10128500,"Weber River","observed",1975,11,1975-11-15,2.4314732273664,1.8258393503921,1.22173606611577,NA
10128500,"Weber River","observed",1975,12,1975-12-16,2.095446647808,1.59815988231691,1.21522186002339,NA
10128500,"Weber River","observed",1976,1,1976-01-16,1.92463212159174,1.50645412506615,1.30995606580591,NA
10128500,"Weber River","observed",1976,2,1976-02-15,1.7146338832949,1.50628925632801,0.753555123828587,NA
10128500,"Weber River","observed",1976,3,1976-03-16,1.9081900816351,1.77675681057963,0.272858201572741,NA
10128500,"Weber River","observed",1976,4,1976-04-15,4.9261874121216,4.61661192999168,0.152636684585396,NA
10128500,"Weber River","observed",1976,5,1976-05-16,20.7151434520444,18.2142778613805,0.389136512105288,NA
10128500,"Weber River","observed",1976,6,1976-06-15,16.4719096625664,21.0351906127833,-0.423341729807684,-4.5632809502169
10128500,"Weber River","observed",1976,7,1976-07-16,4.53252234804852,5.96922406140764,-0.446697822533577,-5.99998266357602
10128500,"Weber River","observed",1976,8,1976-08-16,2.5877943998431,3.01037484486018,-0.413016560159811,-6.4225631085931
10128500,"Weber River","observed",1976,9,1976-09-15,1.7565883835904,2.25047291486478,-0.648538860539769,-6.91644763986748
10128500,"Weber River","observed",1976,10,1976-10-16,1.64146365567174,2.03516729135528,-0.62258382095338,-7.31015127555102
10128500,"Weber River","observed",1976,11,1976-11-15,1.4092350653952,1.8258393503921,-1.00870586218103,-7.72675556054792
10128500,"Weber River","observed",1976,12,1976-12-16,1.19296134352103,1.59815988231691,-1.19465098468706,-8.1319540993438
10128500,"Weber River","observed",1977,1,1977-01-16,1.05777123721084,1.50645412506615,-1.71311693694569,-8.58063698719911
10128500,"Weber River","observed",1977,2,1977-02-14,1.05176858770286,1.50628925632801,-1.92902521936389,-9.03515765582426
10128500,"Weber River","observed",1977,3,1977-03-16,1.01575269065497,1.77675681057963,-1.93351809226237,-9.79616177574892
10128500,"Weber River","observed",1977,4,1977-04-15,2.175677713152,4.61661192999168,-1.55806107946346,-12.2370959925886
10128500,"Weber River","observed",1977,5,1977-05-16,4.81934460062555,18.2142778613805,-3.23200026813435,-25.6320292533435
10128500,"Weber River","observed",1977,6,1977-06-15,7.9230536764416,21.0351906127833,-1.51764491005572,-38.7441661896852
10128500,"Weber River","observed",1977,7,1977-07-16,2.25347292072465,5.96922406140764,-1.42665143447124,-42.4599173303682
10128500,"Weber River","observed",1977,8,1977-08-16,1.59944510911587,3.01037484486018,-1.60287611618765,-43.8708470661125
10128500,"Weber River","observed",1977,9,1977-09-15,1.3337234744832,2.25047291486478,-1.3122323236183,-44.7875965064941
10128500,"Weber River","observed",1977,10,1977-10-16,1.45968776948439,2.03516729135528,-0.944770166931765,-45.363076028365
10128500,"Weber River","observed",1977,11,1977-11-15,1.0637695369728,1.8258393503921,-2.01412361203988,-46.1251458417843
10128500,"Weber River","observed",1977,12,1977-12-16,0.815707871182452,1.59815988231691,-2.59228027775078,-46.9075978529188
10128500,"Weber River","observed",1978,1,1978-01-16,1.09430910378116,1.50645412506615,-1.55687556183166,-47.3197428742038
10128500,"Weber River","observed",1978,2,1978-02-14,1.09626648949029,1.50628925632801,-1.71762836990538,-47.7297656410415
10128500,"Weber River","observed",1978,3,1978-03-16,1.57204170918813,1.77675681057963,-0.453286674894269,-47.934480742433
10128500,"Weber River","observed",1978,4,1978-04-15,5.7643660712448,4.61661192999168,0.536203631817899,-46.7867266011799
10128500,"Weber River","observed",1978,5,1978-05-16,15.6181110654844,18.2142778613805,-0.443898126698185,-49.382893397076
10128500,"Weber River","observed",1978,6,1978-06-15,35.5027183621632,21.0351906127833,1.03059176618103,-34.9153656476961
10128500,"Weber River","observed",1978,7,1978-07-16,7.26190098085161,5.96922406140764,0.343270888358549,-33.6226887282521
10128500,"Weber River","observed",1978,8,1978-08-16,2.79697368595819,3.01037484486018,-0.203315243115394,-33.8360898871541
10128500,"Weber River","observed",1978,9,1978-09-15,2.086007698944,2.25047291486478,-0.204209039114008,-34.0005551030749
10128500,"Weber River","observed",1978,10,1978-10-16,1.64877122898581,2.03516729135528,-0.61015307605784,-34.3869511654443
10128500,"Weber River","observed",1978,11,1978-11-15,1.4507664403968,1.8258393503921,-0.899738906978574,-34.7620240754396
10128500,"Weber River","observed",1978,12,1978-12-16,1.500792869376,1.59815988231691,-0.266494342777642,-34.8593910883805
10128500,"Weber River","observed",1979,1,1979-01-16,1.48252393609084,1.50645412506615,-0.0819185309315921,-34.8833212773558
10128500,"Weber River","observed",1979,2,1979-02-14,1.359208636416,1.50628925632801,-0.574938773436284,-35.0304018972679
10128500,"Weber River","observed",1979,3,1979-03-16,1.49713908271897,1.77675681057963,-0.62906626012519,-35.3100196251285
10128500,"Weber River","observed",1979,4,1979-04-15,2.9770444717056,4.61661192999168,-0.952037362204635,-36.9495870834146
10128500,"Weber River","observed",1979,5,1979-05-16,18.7850306504671,18.2142778613805,0.0918023430510688,-36.378834294328
10128500,"Weber River","observed",1979,6,1979-06-15,16.9127085745152,21.0351906127833,-0.379193981766247,-40.5013163325961
10128500,"Weber River","observed",1979,7,1979-07-16,3.99541570946477,5.96922406140764,-0.638809205325087,-42.475124684539
10128500,"Weber River","observed",1979,8,1979-08-16,2.48274803345342,3.01037484486018,-0.522678367452802,-43.0027514959457
10128500,"Weber River","observed",1979,9,1979-09-15,1.2903043097088,2.25047291486478,-1.38829974289099,-43.9629201011017
10128500,"Weber River","observed",1979,10,1979-10-16,1.41492888293574,2.03516729135528,-1.02828905292152,-44.5831585095213
10128500,"Weber River","observed",1979,11,1979-11-15,1.3195650511872,1.8258393503921,-1.25168602179512,-45.0894328087262
10128500,"Weber River","observed",1979,12,1979-12-16,1.20483615015639,1.59815988231691,-1.15599585553799,-45.4827565408867
10128500,"Weber River","observed",1980,1,1980-01-16,1.28978668993239,1.50645412506615,-0.776471023541276,-45.6994239760204
10128500,"Weber River","observed",1980,2,1980-02-15,1.2303181622731,1.50628925632801,-1.11428855793769,-45.9753950700753
10128500,"Weber River","observed",1980,3,1980-03-16,1.22219163677729,1.77675681057963,-1.33099578877242,-46.5299602438777
10128500,"Weber River","observed",1980,4,1980-04-15,5.1338442871296,4.61661192999168,0.251468172118701,-46.0127278867398
10128500,"Weber River","observed",1980,5,1980-05-16,18.3036442584031,18.2142778613805,0.0144998018603212,-45.9233614897172
10128500,"Weber River","observed",1980,6,1980-06-15,28.949256165888,21.0351906127833,0.606638381502252,-38.0092959366125
10128500,"Weber River","observed",1980,7,1980-07-16,7.42175414709678,5.96922406140764,0.382806938520028,-36.5567658509233
10128500,"Weber River","observed",1980,8,1980-08-16,2.87644354574865,3.01037484486018,-0.126422427298148,-36.6906971500348
10128500,"Weber River","observed",1980,9,1980-09-15,1.9897304205312,2.25047291486478,-0.328826934018181,-36.9514396443684
10128500,"Weber River","observed",1980,10,1980-10-16,1.76934618866787,2.03516729135528,-0.410245123021796,-37.2172607470558
10128500,"Weber River","observed",1980,11,1980-11-15,1.7480933296128,1.8258393503921,-0.175492395576325,-37.2950067678351
