"site_id","site_name","data","year","month","date","flow_m3s","thresh_m3s","norm"
"10128500","Weber River","base",1980,10,1980-10-15,2.27632755942069,2.03516729135528,0.34217672323012
"10128500","Weber River","base",1980,11,1980-11-15,2.64014697036198,1.8258393503921,1.59578197308063
"10128500","Weber River","base",1980,12,1980-12-15,2.01073599609123,1.59815988231691,1.02278113314392
"10128500","Weber River","base",1981,1,1981-01-15,1.89592474014109,1.50645412506615,1.22640378274437
"10128500","Weber River","base",1981,2,1981-02-15,1.82870193998741,1.50628925632801,1.14067731769131
"10128500","Weber River","base",1981,3,1981-03-15,1.8946563646366,1.77675681057963,0.245351095051312
"10128500","Weber River","base",1981,4,1981-04-15,9.9874928697944,4.61661192999168,2.05648653742178
"10128500","Weber River","base",1981,5,1981-05-15,18.4876040764759,18.2142778613805,0.0441991683505968
"10128500","Weber River","base",1981,6,1981-06-15,18.1243011272452,21.0351906127833,-0.261773198934013
"10128500","Weber River","base",1981,7,1981-07-15,4.14453257128419,5.96922406140764,-0.583761165976635
"10128500","Weber River","base",1981,8,1981-08-15,2.79076831256646,3.01037484486018,-0.209380958596808
"10128500","Weber River","base",1981,9,1981-09-15,2.31089184533507,2.25047291486478,0.0725026474226941
"10128500","Weber River","base",1981,10,1981-10-15,2.38483368961386,2.03516729135528,0.488297240281643
"10128500","Weber River","base",1981,11,1981-11-15,2.53002272621389,1.8258393503921,1.40088151965207
"10128500","Weber River","base",1981,12,1981-12-15,2.0955884027571,1.59815988231691,1.21553959048976
"10128500","Weber River","base",1982,1,1982-01-15,1.55166788316053,1.50645412506615,0.152437815983014
"10128500","Weber River","base",1982,2,1982-02-15,1.56623647997693,1.50628925632801,0.223563992335117
"10128500","Weber River","base",1982,3,1982-03-15,1.59667996175077,1.77675681057963,-0.396705372302434
"10128500","Weber River","base",1982,4,1982-04-15,3.7433096225238,4.61661192999168,-0.47157331250431
"10128500","Weber River","base",1982,5,1982-05-15,22.8740983891123,18.2142778613805,0.70074114297026
"10128500","Weber River","base",1982,6,1982-06-15,36.282760271998,21.0351906127833,1.0775715623635
"10128500","Weber River","base",1982,7,1982-07-15,14.6798161174056,5.96922406140764,1.78766379423922
"10128500","Weber River","base",1982,8,1982-08-15,4.02163917575876,3.01037484486018,0.851391322799583
"10128500","Weber River","base",1982,9,1982-09-15,4.16106838076921,2.25047291486478,1.86385621510115
"10128500","Weber River","base",1982,10,1982-10-15,3.98514178571146,2.03516729135528,2.26705112753156
"10128500","Weber River","base",1982,11,1982-11-15,2.31834929834318,1.8258393503921,1.01015932720786
"10128500","Weber River","base",1982,12,1982-12-15,1.93647298755707,1.59815988231691,0.849657283556903
"10128500","Weber River","base",1983,1,1983-01-15,1.81506425343803,1.50645412506615,0.986512830199968
"10128500","Weber River","base",1983,2,1983-02-15,1.75754202181012,1.50628925632801,0.901110526338203
"10128500","Weber River","base",1983,3,1983-03-15,2.34231901623084,1.77675681057963,1.09426694303585
"10128500","Weber River","base",1983,4,1983-04-15,4.41421493319908,4.61661192999168,-0.103537283366276
"10128500","Weber River","base",1983,5,1983-05-15,18.7908601490329,18.2142778613805,0.0927303114116916
"10128500","Weber River","base",1983,6,1983-06-15,49.3484895781705,21.0351906127833,1.78374026881452
"10128500","Weber River","base",1983,7,1983-07-15,13.9064797367752,5.96922406140764,1.66304042294044
"10128500","Weber River","base",1983,8,1983-08-15,4.43574431881895,3.01037484486018,1.15921237439779
"10128500","Weber River","base",1983,9,1983-09-15,3.72511300257705,2.25047291486478,1.49784201311469
"10128500","Weber River","base",1983,10,1983-10-15,3.28300065413578,2.03516729135528,1.55721683725442
"10128500","Weber River","base",1983,11,1983-11-15,2.23975153711348,1.8258393503921,0.859147323095418
"10128500","Weber River","base",1983,12,1983-12-15,2.05336865389959,1.59815988231691,1.12028047354967
"10128500","Weber River","base",1984,1,1984-01-15,1.93073093392326,1.50645412506615,1.32760138806219
"10128500","Weber River","base",1984,2,1984-02-15,1.81007049836947,1.50628925632801,1.07855369172237
"10128500","Weber River","base",1984,3,1984-03-15,1.70569021569986,1.77675681057963,-0.153183769604053
"10128500","Weber River","base",1984,4,1984-04-15,2.69283670466064,4.61661192999168,-1.15210517664115
"10128500","Weber River","base",1984,5,1984-05-15,29.2435334556875,18.2142778613805,1.52058549404945
"10128500","Weber River","base",1984,6,1984-06-15,38.2439141400059,21.0351906127833,1.19289231401202
"10128500","Weber River","base",1984,7,1984-07-15,9.43434612701444,5.96922406140764,0.838611616110292
"10128500","Weber River","base",1984,8,1984-08-15,4.59176259078714,3.01037484486018,1.27033911663471
"10128500","Weber River","base",1984,9,1984-09-15,3.45021391008498,2.25047291486478,1.25271053468719
"10128500","Weber River","base",1984,10,1984-10-15,2.52838470801251,2.03516729135528,0.675020164769951
"10128500","Weber River","base",1984,11,1984-11-15,2.41894349829899,1.8258393503921,1.19862243317843
"10128500","Weber River","base",1984,12,1984-12-15,2.03467752458846,1.59815988231691,1.07769921546777
"10128500","Weber River","base",1985,1,1985-01-15,1.89787152700477,1.50645412506615,1.23209593364326
"10128500","Weber River","base",1985,2,1985-02-15,1.78133820528348,1.50628925632801,0.98192120799423
"10128500","Weber River","base",1985,3,1985-03-15,1.88508958923142,1.77675681057963,0.225827891325791
"10128500","Weber River","base",1985,4,1985-04-15,11.2037361609978,4.61661192999168,2.41467731416548
"10128500","Weber River","base",1985,5,1985-05-15,31.6636055007497,18.2142778613805,1.80159353257467
"10128500","Weber River","base",1985,6,1985-06-15,17.0933557956908,21.0351906127833,-0.36132936330808
"10128500","Weber River","base",1985,7,1985-07-15,4.80885892541371,5.96922406140764,-0.353944678738438
"10128500","Weber River","base",1985,8,1985-08-15,3.30683406525857,3.01037484486018,0.267032074539394
"10128500","Weber River","base",1985,9,1985-09-15,2.58269218187475,2.25047291486478,0.383905412764984
"10128500","Weber River","base",1985,10,1985-10-15,2.69440235550653,2.03516729135528,0.882479486523485
"10128500","Weber River","base",1985,11,1985-11-15,2.30887005740555,1.8258393503921,0.992126304049999
"10128500","Weber River","base",1985,12,1985-12-15,1.77085841393363,1.59815988231691,0.447190635653456
"10128500","Weber River","base",1986,1,1986-01-15,1.64206566560447,1.50645412506615,0.448573293511897
"10128500","Weber River","base",1986,2,1986-02-15,1.7719873524568,1.50628925632801,0.950251431824363
"10128500","Weber River","base",1986,3,1986-03-15,4.58265789151313,1.77675681057963,4.24415957603333
"10128500","Weber River","base",1986,4,1986-04-15,12.5377238777802,4.61661192999168,2.78071939586508
"10128500","Weber River","base",1986,5,1986-05-15,29.6977140918409,18.2142778613805,1.57442955671852
"10128500","Weber River","base",1986,6,1986-06-15,49.2190808903177,21.0351906127833,1.77736600281557
"10128500","Weber River","base",1986,7,1986-07-15,7.96927092627434,5.96922406140764,0.514108519703833
"10128500","Weber River","base",1986,8,1986-08-15,3.50385283300121,3.01037484486018,0.435798941411163
"10128500","Weber River","base",1986,9,1986-09-15,2.62975332086716,2.25047291486478,0.435583867851468
"10128500","Weber River","base",1986,10,1986-10-15,3.11403328456756,2.03516729135528,1.37213756608486
"10128500","Weber River","base",1986,11,1986-11-15,2.60147799705784,1.8258393503921,1.52795608746837
"10128500","Weber River","base",1986,12,1986-12-15,2.02626113386829,1.59815988231691,1.05844180215038
"10128500","Weber River","base",1987,1,1987-01-15,1.77838992877126,1.50645412506615,0.875393669712924
"10128500","Weber River","base",1987,2,1987-02-15,1.7132698354772,1.50628925632801,0.748824600226262
