"","None","Extreme","Severe","Moderate","total_time_steps"
"Paleo",5569,18,42,62,5691
"Observed",1160,5,10,10,1185
"Base",355,0,0,5,360
"Warm-Wet",360,0,0,0,360
"Hot-Wet",360,0,0,0,360
"Warm-Dry",311,12,16,21,360
"Hot-Dry",277,30,33,20,360
