"begin","end","dura_months","begin_month","end_month","min_flow","min_perc","max_deficit","cum_deficit","deficit_center_mass","perc_center_mass","prior_year_flow","dec_rate_to_max_deficit","inc_rate_from_max_deficit","dec_rate_to_min_perc","inc_rate_from_min_perc","data"
1905-02-14,1906-03-16,14,2,3,1.13267386368,0.0606908635868182,7.5835855827451,13.3412972395569,0.345337743094466,0.615142056901016,0,-1.90863950505974,0.738583210185729,-0.0390345194608048,0.271426293889285,"observed"
1908-02-15,1908-05-16,4,2,5,1.47795670276955,0.112983580514863,6.468267205686,6.89037731326018,0.962420085706765,0.691565820293643,140.325564353097,-1.65104754573896,13.6696921195587,-0.140126953931868,0.598216058668169,"observed"
1910-06-15,1910-09-15,4,6,9,2.0369251648512,0.231651450564768,3.8251551490521,6.7319618619095,0.200792369312076,0.485707524722649,129.965739458636,-12.5666883499271,1.01657423625698,-0.220338935720338,0.201115046511252,"observed"
1915-05-16,1915-08-16,4,5,8,2.12193660107148,0.14375007777271,5.7831822074925,7.14372248718381,0.168423806572693,0.489529296164021,112.938006200361,-7.53691686581442,1.49529315698733,-0.641815935738271,0.112091632889566,"observed"
1917-01-16,1917-05-16,5,1,5,1.38843892967226,0.309621984189047,2.8884697284587,3.64080432812267,0.924029137098935,0.599548627518371,94.0133397031681,-0.817639395752848,30.8461431942674,-0.137257910213963,0.651696700378168,"observed"
1918-04-15,1919-12-16,21,4,12,1.4158423296,0.0995258708847121,9.2497190611929,21.4654421967514,0.508960641271262,0.471515479512298,110.555271877151,-0.646906600315431,1.33349843218061,-0.0420357537645877,0.102407323453635,"observed"
1924-04-15,1925-01-16,10,4,1,1.44781296284903,0.0853473718899292,11.8341032601561,18.7796564129154,0.277769284620079,0.439031036677346,94.702918288983,-4.05641171244704,1.48451734035508,-0.132778809162445,0.0795293931230562,"observed"
1925-06-15,1925-08-16,3,6,8,2.73668620611716,0.326039026327996,4.8341787826137,5.78549495671739,0.105868626799544,0.401413348889153,51.5696026239815,-9.2140041616564,1.74660869269284,-0.419800242790481,0.117578059239257,"observed"
1926-06-15,1927-04-15,11,6,4,1.55834000922426,0.179761354040466,7.9358173793241,13.3081856080134,0.118948259454052,0.324235369271658,65.2211292424516,-11.5108962471555,0.926783600359964,-0.13198852328099,0.0572688615377323,"observed"
1928-04-15,1928-10-16,7,4,10,1.8047270227968,0.280870074155206,2.0506327626201,4.48491323183225,0.439211043154811,0.625222418190825,77.9895759735612,-0.876247150832587,0.41760838359632,-0.0978361001726061,0.126035566831083,"observed"
1929-11-15,1930-01-16,3,11,1,1.4158423296,0.376398267559206,0.0906117954661501,0.12777033613025,0.709177092355613,0.788421914093798,84.5997153604806,-0.0579091061751067,0.14174910169814,-0.0572309102331927,0.199366422031649,"observed"
1930-05-16,1930-07-16,3,5,7,4.39641879507406,0.27473150217882,3.438364620342,5.95083836800288,0.343252392466298,0.459756462965124,84.5997153604806,-5.90945939232792,1.31705118650839,-0.583684961550169,0.133211283785756,"observed"
1930-11-15,1932-04-15,18,11,4,0.9467265710592,0.014462039245865,13.4368367772633,31.6258112262157,0.423041443911807,0.471270303132644,62.776287070692,-1.80097780724766,1.84058457120295,-0.0879990071951472,0.0916702572734558,"observed"
1932-08-16,1937-10-16,63,8,10,0.9325681477632,0.00157649139874947,18.7424699337177,86.0690795588758,0.435967016218885,0.401955757524362,36.5623164927025,-0.867399839712421,0.464399855554283,-0.0271611644758157,0.0179027070457017,"observed"
1938-07-16,1938-09-15,3,7,9,2.2049384546304,0.403036133697279,0.8228655549777,1.06992636747871,0.136736172520401,0.308243860756027,59.9392130761728,-5.1435232755576,0.323002965956894,-0.23264161560239,0.0600930833401368,"observed"
1939-05-16,1941-09-15,29,5,9,1.076040170496,0.038503491324203,14.4911673653721,50.216329682305,0.380720302211953,0.419309194289664,72.7420510741917,-1.16412572409517,0.918028982591471,-0.0538052314813564,0.0357779522334798,"observed"
1942-03-16,1943-03-16,13,3,3,1.31471073462857,0.224501969730962,3.4493259803131,6.44942863137816,0.339668099348875,0.60995255198695,56.7625196118825,-1.17558583374589,0.793929773979184,-0.032392279837652,0.377155986053556,"observed"
1943-12-16,1944-04-15,5,12,4,1.36702018030345,0.0776819369650185,2.27480871683328,2.95383661560194,0.894084362629358,0.679816969984746,71.7335320111685,-0.480188798303276,4.76471294752608,-0.106086037328895,0.573125376619085,"observed"
1945-03-16,1945-06-15,4,3,6,1.71362594214813,0.0857442450621091,2.6281374291451,6.07470268040278,0.603101870451939,0.431568723647854,75.4983627343874,-0.9170260559356,1.85216374457995,-0.294389547685939,0.175962540991411,"observed"
1946-06-15,1946-09-15,4,6,9,2.0359812699648,0.303384121499245,3.4457094047193,5.72044147413226,0.182490372370582,0.475789201802994,62.1413568189852,-4.8760155048727,0.86667763865223,-0.143126122017215,0.0696390738964983,"observed"
1947-04-15,1947-06-15,3,4,6,4.4674544973312,0.469710243360691,0.14915743266048,0.244983885546179,0.391154106614234,0.0976232066977225,68.5570908321473,-0.34361852354975,0.21327606029529,-0.185447774913046,0.0280811127106769,"observed"
1948-04-15,1949-03-16,12,4,3,1.49074495606916,0.155724381645702,3.3437687569881,7.18882371481576,0.276983789937877,0.428769478724192,73.3312241726381,-1.18123684262097,0.566855982158202,-0.0839046219074071,0.0985371012317857,"observed"
1952-11-15,1953-05-16,7,11,5,1.4158423296,0.0242568555338131,9.59956237076269,10.9481211031565,0.962109088670989,0.71082754460359,101.690272000527,-1.43230483422613,19.6307841540626,-0.099698202131394,0.749073623767796,"observed"
