"","None","Extreme","Severe","Moderate"
"Paleo",0.978562642769285,0.00316288877174486,0.00738007380073801,0.0108943946582323
"Observed",0.978902953586498,0.00421940928270042,0.00843881856540084,0.00843881856540084
"Base",0.986111111111111,0,0,0.0138888888888889
"Warm-Wet",1,0,0,0
"Hot-Wet",1,0,0,0
"Warm-Dry",0.863888888888889,0.0333333333333333,0.0444444444444444,0.0583333333333333
"Hot-Dry",0.769444444444444,0.0833333333333333,0.0916666666666667,0.0555555555555556
