"site_id","site_name","data","year","month","date","flow_m3s","thresh_m3s","norm"
10128500,"Weber River","observed",1904,10,1904-10-16,2.26169394070297,2.03516729135528,0.322119905886363
10128500,"Weber River","observed",1904,11,1904-11-15,2.0067205284864,1.8258393503921,0.389833314019529
10128500,"Weber River","observed",1904,12,1904-12-16,1.69901079552,1.59815988231691,0.264832337437843
10128500,"Weber River","observed",1905,1,1905-01-16,1.55742656256,1.50645412506615,0.17163973517533
10128500,"Weber River","observed",1905,2,1905-02-14,1.500792869376,1.50628925632801,-0.0207927911366464
10128500,"Weber River","observed",1905,3,1905-03-16,1.82049920186632,1.77675681057963,0.0922598902410569
10128500,"Weber River","observed",1905,4,1905-04-15,3.5084572927488,4.61661192999168,-0.610994436435359
10128500,"Weber River","observed",1905,5,1905-05-16,10.6306922786354,18.2142778613805,-1.46375852185752
10128500,"Weber River","observed",1905,6,1905-06-15,22.8828437309952,21.0351906127833,0.153687152024845
10128500,"Weber River","observed",1905,7,1905-07-16,4.41560117502348,5.96922406140764,-0.487117701430536
10128500,"Weber River","observed",1905,8,1905-08-16,1.99405406807536,3.01037484486018,-1.07940355888188
10128500,"Weber River","observed",1905,9,1905-09-15,1.6697500540416,2.25047291486478,-0.775020079071312
10128500,"Weber River","observed",1905,10,1905-10-16,2.06621635455174,2.03516729135528,0.0455205181081424
10128500,"Weber River","observed",1905,11,1905-11-15,1.6952352159744,1.8258393503921,-0.297814837070598
10128500,"Weber River","observed",1905,12,1905-12-16,1.28339256328258,1.59815988231691,-0.906612526467782
10128500,"Weber River","observed",1906,1,1906-01-16,1.217624403456,1.50645412506615,-1.05453474072234
10128500,"Weber River","observed",1906,2,1906-02-14,1.13267386368,1.50628925632801,-1.54899997047268
10128500,"Weber River","observed",1906,3,1906-03-16,1.39117926966503,1.77675681057963,-0.888223040269925
10128500,"Weber River","observed",1906,4,1906-04-15,5.1574416592896,4.61661192999168,0.262529691624711
10128500,"Weber River","observed",1906,5,1906-05-16,21.5217168565843,18.2142778613805,0.507948742697807
10128500,"Weber River","observed",1906,6,1906-06-15,32.455825668864,21.0351906127833,0.840426554538987
10128500,"Weber River","observed",1906,7,1906-07-16,11.9606706217951,5.96922406140764,1.32886967652888
10128500,"Weber River","observed",1906,8,1906-08-16,4.33339097524026,3.01037484486018,1.08492796575768
10128500,"Weber River","observed",1906,9,1906-09-15,3.284754204672,2.25047291486478,1.09903801271835
10128500,"Weber River","observed",1906,10,1906-10-16,2.11736936775019,2.03516729135528,0.119529016878498
10128500,"Weber River","observed",1906,11,1906-11-15,1.7962319688192,1.8258393503921,-0.0662308067141276
10128500,"Weber River","observed",1906,12,1906-12-16,1.83054711517316,1.59815988231691,0.594996925076836
10128500,"Weber River","observed",1907,1,1907-01-16,1.868911875072,1.50645412506615,1.14702357937651
10128500,"Weber River","observed",1907,2,1907-02-14,1.897228721664,1.50628925632801,1.36566104315799
10128500,"Weber River","observed",1907,3,1907-03-16,2.58505405985032,1.77675681057963,1.51059010428441
10128500,"Weber River","observed",1907,4,1907-04-15,9.6456618441216,4.61661192999168,1.9509340479329
10128500,"Weber River","observed",1907,5,1907-05-16,22.5173737206256,18.2142778613805,0.650631524546337
10128500,"Weber River","observed",1907,6,1907-06-15,44.589594433536,21.0351906127833,1.54204334081858
10128500,"Weber River","observed",1907,7,1907-07-16,42.075180249055,5.96922406140764,4.8237407862295
10128500,"Weber River","observed",1907,8,1907-08-16,6.39138630981368,3.01037484486018,2.40621078346551
10128500,"Weber River","observed",1907,9,1907-09-15,3.011024687616,2.25047291486478,0.833374726327897
10128500,"Weber River","observed",1907,10,1907-10-16,2.42063366028387,2.03516729135528,0.53554202165506
10128500,"Weber River","observed",1907,11,1907-11-15,2.0274862159872,1.8258393503921,0.43307129758969
10128500,"Weber River","observed",1907,12,1907-12-16,2.10001388112929,1.59815988231691,1.22545183932923
10128500,"Weber River","observed",1908,1,1908-01-16,1.642377102336,1.50645412506615,0.44957459826962
10128500,"Weber River","observed",1908,2,1908-02-15,1.47833468069959,1.50628925632801,-0.106284268979607
10128500,"Weber River","observed",1908,3,1908-03-16,1.47795670276955,1.77675681057963,-0.67503713200303
10128500,"Weber River","observed",1908,4,1908-04-15,4.521256505856,4.61661192999168,-0.0483915167153049
10128500,"Weber River","observed",1908,5,1908-05-16,11.7460106556945,18.2142778613805,-1.21081279307086
10128500,"Weber River","observed",1908,6,1908-06-15,28.236615526656,21.0351906127833,0.556892730592709
10128500,"Weber River","observed",1908,7,1908-07-16,11.2728452836088,5.96922406140764,1.20254047512166
10128500,"Weber River","observed",1908,8,1908-08-16,4.54713749467665,3.01037484486018,1.23880669246698
10128500,"Weber River","observed",1908,9,1908-09-15,2.6117571506688,2.25047291486478,0.415894797366323
10128500,"Weber River","observed",1908,10,1908-10-16,3.61268155714065,2.03516729135528,1.9014490934433
10128500,"Weber River","observed",1908,11,1908-11-15,2.487163025664,1.8258393503921,1.32353863429793
10128500,"Weber River","observed",1908,12,1908-12-16,1.9648237748191,1.59815988231691,0.916255045580505
10128500,"Weber River","observed",1909,1,1909-01-16,1.868911875072,1.50645412506615,1.14702357937651
10128500,"Weber River","observed",1909,2,1909-02-14,1.642377102336,1.50628925632801,0.499461835698736
10128500,"Weber River","observed",1909,3,1909-03-16,1.642377102336,1.77675681057963,-0.293301036060914
10128500,"Weber River","observed",1909,4,1909-04-15,4.228649091072,4.61661192999168,-0.201310313703314
10128500,"Weber River","observed",1909,5,1909-05-16,21.0905700310545,18.2142778613805,0.444811953187325
