"","Paleo","Observed","Base","Warm-Wet","Hot-Wet","Warm-Dry","Hot-Dry"
"Paleo",NA,NA,NA,NA,NA,NA,NA
"Observed",0.789105447276362,NA,NA,NA,NA,NA,NA
"Base",0.237881059470265,0.144927536231884,NA,NA,NA,NA,NA
"Warm-Wet",0.0559720139930035,0.0514742628685657,NA,NA,NA,NA,NA
"Hot-Wet",0.0549725137431284,0.0524737631184408,NA,NA,NA,NA,NA
"Warm-Dry",0.000499750124937531,0.000499750124937531,0.000499750124937531,0.000499750124937531,0.000499750124937531,NA,NA
"Hot-Dry",0.000499750124937531,0.000499750124937531,0.000499750124937531,0.000499750124937531,0.000499750124937531,0.00199900049975012,NA
