"","month","year","t","norm_est","flow_est"
"1808",8,1578,1808,0.551094041104147,3.64281344927253
"1809",9,1578,1809,0.211950663745152,2.43012348677098
"1810",10,1578,1810,1.18347942480507,2.94768211978934
"1811",11,1578,1811,1.88707074162794,2.81044062536951
"1812",12,1578,1812,1.9204009351354,2.4256375802376
"1813",1,1579,1813,1.22935515720789,1.89693398387607
"1814",2,1579,1814,0.767459351967201,1.71864732085982
"1815",3,1579,1815,0.667475369009295,2.10944828976419
"1816",4,1579,1816,-0.153614691718981,4.31850066251378
"1817",5,1579,1817,-0.820489010424987,13.6223212495075
"1818",6,1579,1818,-0.624688844048814,14.5615176725241
"1819",7,1579,1819,-1.07282979854087,2.94857501208852
"1820",8,1579,1820,-0.467894231540825,2.53485697826829
"1821",9,1579,1821,-0.608590049218755,1.78464510450707
"1822",10,1579,1822,-1.85438183886109,1.02221919303508
"1823",11,1579,1823,-1.10251583590555,1.37413677687802
"1824",12,1579,1824,-1.14535336819787,1.20811964189201
"1825",1,1580,1825,-0.9736280920514,1.23833093438495
"1826",2,1580,1826,-1.59357322159748,1.12297117924957
"1827",3,1580,1827,-1.81456670129605,1.05442047739953
"1828",4,1580,1828,-2.76952572514346,1.05526294137849
"1829",5,1580,1829,-2.18809847849051,7.85023345630191
"1830",6,1580,1830,-1.1141254076417,10.5705243733994
"1831",7,1580,1831,-1.53446079698931,2.06775614746681
"1832",8,1580,1832,-1.38364190452374,1.75732914392684
"1833",9,1580,1833,-1.57928645110162,1.18567622635482
"1834",10,1580,1834,-2.09558813599987,0.923881731295841
"1835",11,1580,1835,-2.38011798962273,0.954228386856983
"1836",12,1580,1836,-2.2089985689329,0.909362107687236
"1837",1,1581,1837,-1.84300818544525,1.02804093238063
"1838",2,1581,1838,-1.69558116446525,1.10098035387193
"1839",3,1581,1839,-1.37257854644567,1.20708591446972
"1840",4,1581,1840,-2.21187213902207,1.49813073446838
"1841",5,1581,1841,0.3440673403662,20.4144956277501
"1842",6,1581,1842,0.872202908281174,32.9526986698693
"1843",7,1581,1843,0.330895871866565,7.212338658059
"1844",8,1581,1844,0.22837546817431,3.26276553037817
"1845",9,1581,1845,0.144461822069965,2.37191960122948
"1846",10,1581,1846,0.474156042813291,2.37418647738865
"1847",11,1581,1847,0.12514320597869,1.88266853355306
